Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Multinomial Naive Bayes (TF-IDF),0.9700193423597679,0.9807692307692307,0.7786259541984732,0.8680851063829788,0.9895513682128274
Multinomial Naive Bayes (Count),0.9796905222437138,0.9296875,0.9083969465648855,0.918918918918919,0.9864489023019113
Linear SVM (TF-IDF),0.9806576402321083,0.9826086956521739,0.8625954198473282,0.9186991869918699,0.9947841376920021
Logistic Regression (TF-IDF),0.9642166344294004,1.0,0.7175572519083969,0.8355555555555556,0.9917493004657925
Random Forest (TF-IDF),0.9738878143133463,0.9814814814814815,0.8091603053435115,0.8870292887029289,0.9894203376362084
